pid,tid,start_date,choices,starter_id,votes,forum_id,poll_question,poll_view_voters
30,4498,2014-11-24T19:46:59Z,"a:1:{i:1;a:4:{s:8:""question"";s:24:""how charismatic are you?"";s:5:""multi"";i:1;s:6:""choice"";a:4:{i:1;s:26:""alpha as fuck cult leader "";i:2;s:20:""normal cis male scum"";i:3;s:13:""awkward creep"";i:4;s:34:""socially retarded basement dweller"";}s:5:""votes"";a:4:{i:1;i:9;i:2;i:16;i:3;i:4;i:4;i:4;}}}",7508,27,16,,FALSE
31,4588,2014-12-23T19:43:59Z,"a:1:{i:1;a:3:{s:8:""question"";s:25:""Do you really watch anime"";s:6:""choice"";a:3:{i:1;s:3:""Yes"";i:2;s:2:""No"";i:3;s:117:""Yes but only &quot;Ro-Kyu-Bu&#33;&quot; so I could write a review for TotenkopfAnime [Obligatory Ironic Third Choice]"";}s:5:""votes"";a:3:{i:1;i:8;i:2;i:5;i:3;i:3;}}}",132,16,78,,TRUE
33,4737,2015-01-29T04:57:39Z,"a:1:{i:1;a:3:{s:8:""question"";s:23:""Where do you call home?"";s:6:""choice"";a:5:{i:1;s:9:""Northeast"";i:2;s:5:""South"";i:3;s:7:""Midwest"";i:4;s:9:""Southwest"";i:5;s:10:""West coast"";}s:5:""votes"";a:5:{i:1;i:16;i:2;i:29;i:3;i:10;i:4;i:6;i:5;i:9;}}}",6113,70,128,Where do you reside? Plan to reside in the next few years,FALSE
35,4984,2015-03-26T10:13:25Z,"a:1:{i:1;a:3:{s:8:""question"";s:17:""Gdje se nalazite?"";s:6:""choice"";a:8:{i:1;s:8:""Hrvatska"";i:2;s:6:""Srbija"";i:3;s:17:""Bosna/Hercegovina"";i:4;s:16:""Republika Srpska"";i:5;s:6:""Kosovo"";i:6;s:10:""Makedonija"";i:7;s:9:""Crna Gora"";i:8;s:9:""Slovenija"";}s:5:""votes"";a:8:{i:1;i:2;i:2;i:4;i:3;i:0;i:4;i:1;i:5;i:0;i:6;i:0;i:7;i:0;i:8;i:1;}}}",9267,8,152,Lokacjia,FALSE
36,5028,2015-04-01T22:02:49Z,"a:3:{i:1;a:3:{s:8:""question"";s:18:""Where do you live?"";s:6:""choice"";a:4:{i:1;s:13:""With parents "";i:2;s:14:""at school/camp"";i:3;s:11:""my own home"";i:4;s:13:""hobo/squatter"";}s:5:""votes"";a:4:{i:1;i:36;i:2;i:4;i:3;i:17;i:4;i:3;}}i:2;a:3:{s:8:""question"";s:14:""Do have a job?"";s:6:""choice"";a:3:{i:1;s:3:""Yes"";i:2;s:33:""No, NEET master race reporting in"";i:3;s:4:""hobo"";}s:5:""votes"";a:3:{i:1;i:33;i:2;i:23;i:3;i:4;}}i:3;a:3:{s:8:""question"";s:6:""class?"";s:6:""choice"";a:5:{i:1;s:49:""Higher Upper class (but babe, im the fuhrer&#33;)"";i:2;s:11:""Upper class"";i:3;s:19:""Higher middle class"";i:4;s:12:""middle class"";i:5;s:11:""lower class"";}s:5:""votes"";a:5:{i:1;i:2;i:2;i:2;i:3;i:10;i:4;i:32;i:5;i:14;}}}",7508,60,78,,FALSE
37,5352,2015-07-15T12:47:43Z,"a:1:{i:1;a:3:{s:8:""question"";s:31:""What was best/least bad Russia?"";s:6:""choice"";a:2:{i:1;s:18:""The Russian Empire"";i:2;s:31:""The Soviet union (under Stalin)"";}s:5:""votes"";a:2:{i:1;i:35;i:2;i:2;}}}",9240,37,13,Greater slavland,FALSE
38,5383,2015-07-28T10:02:50Z,"a:1:{i:1;a:3:{s:8:""question"";s:31:""Do gas chambers work on plants?"";s:6:""choice"";a:3:{i:1;s:2:""No"";i:2;s:37:""Maybe if you&#39;re extra-thorough..."";i:3;s:39:""They put cyanide in their fucking seeds"";}s:5:""votes"";a:3:{i:1;i:0;i:2;i:3;i:3;i:4;}}}",9569,7,11,u wot,TRUE
40,5598,2015-09-28T11:52:44Z,"a:1:{i:1;a:4:{s:8:""question"";s:70:""What SHOULD be the proper way of handling Muslim immigrants in Europe?"";s:5:""multi"";i:1;s:6:""choice"";a:4:{i:1;s:41:""Kill them. Concentration camps and other."";i:2;s:46:""Enslave them and make them work for the state."";i:3;s:26:""Deport them out of Europe."";i:4;s:6:""Other."";}s:5:""votes"";a:4:{i:1;i:11;i:2;i:6;i:3;i:30;i:4;i:3;}}}",9267,43,84,"Enslave, kill or other?",TRUE
41,5958,2016-01-15T06:29:54Z,"a:1:{i:1;a:3:{s:8:""question"";s:98:""Is solely Bible-based Christian Theocracy compatible with Fascist values? Why? Why not? What else?"";s:6:""choice"";a:4:{i:1;s:3:""Yes"";i:2;s:2:""No"";i:3;s:7:""Depends"";i:4;s:58:""Fuck off. We of Evola&#39;s Hyperborean Black-Sun Cult now"";}s:5:""votes"";a:4:{i:1;i:10;i:2;i:13;i:3;i:9;i:4;i:7;}}}",9720,39,65,100% Bible-Only Theocracy compatible with Fascism? Why? Why not?,TRUE
43,6125,2016-02-27T06:41:55Z,"a:2:{i:1;a:3:{s:8:""question"";s:23:""Which State are you in?"";s:6:""choice"";a:9:{i:1;s:10:""Queensland"";i:2;s:15:""New South Wales"";i:3;s:8:""Victoria"";i:4;s:9:""Kikeberra"";i:5;s:15:""South Australia"";i:6;s:17:""Western Australia"";i:7;s:18:""Northern Terrority"";i:8;s:11:""New Zealand"";i:9;s:9:""Tasmania "";}s:5:""votes"";a:9:{i:1;i:1;i:2;i:0;i:3;i:3;i:4;i:0;i:5;i:0;i:6;i:0;i:7;i:0;i:8;i:0;i:9;i:0;}}i:2;a:3:{s:8:""question"";s:44:""Willing to particpate in some info-activism?"";s:6:""choice"";a:2:{i:1;s:3:""Yes"";i:2;s:2:""No"";}s:5:""votes"";a:2:{i:1;i:4;i:2;i:0;}}}",9905,5,108,Which State are you in,FALSE
