id,perms,updated
4,*,1458844734
6,"{""can_manage_sidebar"":false,""can_use_ip_tools"":true,""can_edit_member_status"":false,""can_hide_member_status"":false,""can_unhide_member_status"":false,""can_view_hidden_member_status"":false,""can_lock_member_status"":false,""can_unlock_member_status"":false,""can_reply_to_locked_member_status"":false,""can_delete_member_status"":false,""can_edit_status_reply"":false,""can_hide_status_reply"":false,""can_unhide_status_reply"":false,""can_view_hidden_status_reply"":false,""can_delete_status_reply"":false,""forums"":-1,""can_pin_topic"":false,""can_unpin_topic"":false,""can_feature_topic"":false,""can_unfeature_topic"":false,""can_edit_topic"":false,""can_hide_topic"":false,""can_unhide_topic"":false,""can_view_hidden_topic"":false,""can_move_topic"":false,""can_lock_topic"":false,""can_unlock_topic"":false,""can_reply_to_locked_topic"":false,""can_feature_comments_topic"":false,""can_unfeature_comments_topic"":false,""can_add_item_message_topic"":true,""can_edit_item_message_topic"":true,""can_delete_item_message_topic"":true,""can_delete_topic"":false,""can_split_merge_topic"":false,""can_edit_post"":false,""can_hide_post"":false,""can_unhide_post"":false,""can_view_hidden_post"":false,""can_delete_post"":false,""can_read_all_topics"":true,""calendar_calendars"":-1,""can_feature_calendar_event"":false,""can_unfeature_calendar_event"":false,""can_edit_calendar_event"":false,""can_hide_calendar_event"":false,""can_unhide_calendar_event"":false,""can_view_hidden_calendar_event"":false,""can_move_calendar_event"":false,""can_lock_calendar_event"":false,""can_unlock_calendar_event"":false,""can_reply_to_locked_calendar_event"":false,""can_feature_comments_calendar_event"":false,""can_unfeature_comments_calendar_event"":false,""can_add_item_message_calendar_event"":false,""can_edit_item_message_calendar_event"":false,""can_delete_item_message_calendar_event"":false,""can_delete_calendar_event"":false,""can_edit_calendar_event_comment"":false,""can_hide_calendar_event_comment"":false,""can_unhide_calendar_event_comment"":false,""can_view_hidden_calendar_event_comment"":false,""can_delete_calendar_event_comment"":false,""can_edit_calendar_event_review"":false,""can_hide_calendar_event_review"":false,""can_unhide_calendar_event_review"":false,""can_view_hidden_calendar_event_review"":false,""can_delete_calendar_event_review"":false,""mod_see_warn"":true,""mod_can_warn"":true,""mod_revoke_warn"":true,""warning_custom_noaction"":true,""warnings_enable_other"":true,""warn_mod_day"":-1,""can_pin_content"":true,""can_unpin_content"":true,""can_feature_content"":true,""can_unfeature_content"":true,""can_edit_content"":true,""can_hide_content"":true,""can_unhide_content"":true,""can_view_hidden_content"":true,""can_future_publish_content"":true,""can_view_future_content"":true,""can_move_content"":true,""can_lock_content"":true,""can_unlock_content"":true,""can_reply_to_locked_content"":true,""can_delete_content"":true,""can_split_merge_content"":true,""can_feature_comments_content"":false,""can_unfeature_comments_content"":false,""can_add_item_message_content"":false,""can_edit_item_message_content"":false,""can_delete_item_message_content"":false,""can_view_moderation_log"":true,""can_view_reports"":true,""can_manage_announcements"":true,""can_see_poll_voters"":true,""can_edit_poll_votes"":true,""can_close_polls"":true,""can_manage_deleted_content"":false,""can_see_emails"":true,""can_flag_as_spammer"":true,""can_modify_profiles"":true,""can_unban"":false,""can_remove_followers"":false,""can_remove_reactions"":false}",1501858704
10,"{""can_manage_sidebar"":false,""can_use_ip_tools"":true,""can_edit_member_status"":false,""can_hide_member_status"":false,""can_unhide_member_status"":false,""can_view_hidden_member_status"":false,""can_lock_member_status"":false,""can_unlock_member_status"":false,""can_reply_to_locked_member_status"":false,""can_delete_member_status"":false,""can_edit_status_reply"":false,""can_hide_status_reply"":false,""can_unhide_status_reply"":false,""can_view_hidden_status_reply"":false,""can_delete_status_reply"":false,""forums"":-1,""can_pin_topic"":false,""can_unpin_topic"":false,""can_feature_topic"":false,""can_unfeature_topic"":false,""can_edit_topic"":false,""can_hide_topic"":false,""can_unhide_topic"":false,""can_view_hidden_topic"":false,""can_move_topic"":false,""can_lock_topic"":false,""can_unlock_topic"":false,""can_reply_to_locked_topic"":false,""can_feature_comments_topic"":false,""can_unfeature_comments_topic"":false,""can_add_item_message_topic"":true,""can_edit_item_message_topic"":true,""can_delete_item_message_topic"":true,""can_delete_topic"":false,""can_split_merge_topic"":false,""can_edit_post"":false,""can_hide_post"":false,""can_unhide_post"":false,""can_view_hidden_post"":false,""can_delete_post"":false,""can_read_all_topics"":true,""calendar_calendars"":-1,""can_feature_calendar_event"":false,""can_unfeature_calendar_event"":false,""can_edit_calendar_event"":false,""can_hide_calendar_event"":false,""can_unhide_calendar_event"":false,""can_view_hidden_calendar_event"":false,""can_move_calendar_event"":false,""can_lock_calendar_event"":false,""can_unlock_calendar_event"":false,""can_reply_to_locked_calendar_event"":false,""can_feature_comments_calendar_event"":false,""can_unfeature_comments_calendar_event"":false,""can_add_item_message_calendar_event"":false,""can_edit_item_message_calendar_event"":false,""can_delete_item_message_calendar_event"":false,""can_delete_calendar_event"":false,""can_edit_calendar_event_comment"":false,""can_hide_calendar_event_comment"":false,""can_unhide_calendar_event_comment"":false,""can_view_hidden_calendar_event_comment"":false,""can_delete_calendar_event_comment"":false,""can_edit_calendar_event_review"":false,""can_hide_calendar_event_review"":false,""can_unhide_calendar_event_review"":false,""can_view_hidden_calendar_event_review"":false,""can_delete_calendar_event_review"":false,""mod_see_warn"":true,""mod_can_warn"":true,""mod_revoke_warn"":true,""warning_custom_noaction"":true,""warnings_enable_other"":true,""warn_mod_day"":-1,""can_pin_content"":true,""can_unpin_content"":true,""can_feature_content"":true,""can_unfeature_content"":true,""can_edit_content"":true,""can_hide_content"":true,""can_unhide_content"":true,""can_view_hidden_content"":true,""can_future_publish_content"":true,""can_view_future_content"":true,""can_move_content"":true,""can_lock_content"":true,""can_unlock_content"":true,""can_reply_to_locked_content"":true,""can_delete_content"":true,""can_split_merge_content"":true,""can_feature_comments_content"":false,""can_unfeature_comments_content"":false,""can_add_item_message_content"":false,""can_edit_item_message_content"":false,""can_delete_item_message_content"":false,""can_view_moderation_log"":true,""can_view_reports"":true,""can_manage_announcements"":true,""can_see_poll_voters"":true,""can_edit_poll_votes"":true,""can_close_polls"":true,""can_manage_deleted_content"":false,""can_see_emails"":true,""can_flag_as_spammer"":true,""can_modify_profiles"":true,""can_unban"":false,""can_remove_followers"":false,""can_remove_reactions"":false}",1501858735
