sc_id,sc_set_id,sc_key,sc_type,sc_content,sc_updated,sc_default,sc_tab_key,sc_show_in_vse,sc_title,sc_order,sc_condition
633,5,mobile_back_font,Color,[],1501781948,#353c41,frontendcolors,FALSE,themesetting_mobile_back_font,34,
634,5,post_highlight,Color,[],1501781948,#fffefa,frontendcolors,FALSE,themesetting_post_highlight,31,
635,5,post_highlight_border,Color,[],1501781948,#d0ad71,frontendcolors,FALSE,themesettings_post_highlight_border,32,
636,5,recaptcha_theme,other,"return new \IPS\Helpers\Form\Radio( ""core_theme_setting_title_{$row['sc_id']}"", $value, FALSE, array( 'options' => array(
			'clean'			=> ""<img src='"" . $theme->resource( 'recaptcha/clean.png', 'core' ) . ""' alt='clean'>"",
			'red'			=> ""<img src='"" . $theme->resource( 'recaptcha/red.png', 'core' ) . ""' alt='clean'>"",
			'white'			=> ""<img src='"" . $theme->resource( 'recaptcha/white.png', 'core' ) . ""' alt='clean'>"",
			'blackglass'	=> ""<img src='"" . $theme->resource( 'recaptcha/blackglass.png', 'core' ) . ""' alt='clean'>"",
			), 'parse' => 'raw' ), NULL, NULL, NULL, 'theme_setting_' . $row['sc_key'] );",1501781948,white,custom,FALSE,recaptcha_theme,13,return \IPS\Settings::i()->bot_antispam_type === 'recaptcha';
637,5,recaptcha2_theme,other,"return new \IPS\Helpers\Form\Radio( ""core_theme_setting_title_{$row['sc_id']}"", $value, FALSE, array( 'options' => array(
			'light'			=> ""<img src='"" . $theme->resource( 'recaptcha2/light.png', 'core' ) . ""' alt='light'>"",
			'dark'			=> ""<img src='"" . $theme->resource( 'recaptcha2/dark.png', 'core' ) . ""' alt='dark'>"",
			), 'parse' => 'raw' ), NULL, NULL, NULL, 'theme_setting_' . $row['sc_key'] );",1501781948,light,custom,FALSE,recaptcha2_theme,12,return \IPS\Settings::i()->bot_antispam_type === 'recaptcha2';
638,5,trophy_first,Color,[],1501781948,#fac746,frontendcolors,TRUE,themesetting_trophy_first,35,
639,5,trophy_first_font,Color,[],1501781948,#704926,frontendcolors,TRUE,themesetting_trophy_first_font,38,
640,5,trophy_second,Color,[],1501781948,#c0c0c0,frontendcolors,TRUE,themesetting_trophy_second,36,
641,5,trophy_third,Color,[],1501781948,#cd7f32,frontendcolors,FALSE,themesetting_trophy_third,37,
642,5,text_dark,Color,[],1501781948,#1e2225,textcolors,FALSE,themesetting_dark_text_color,4,
643,5,social_links,Radio,"[{""key"":""header"",""value"":""themesetting_header""},{""key"":""footer"",""value"":""themesetting_footer""}]",1501781948,footer,custom,TRUE,themesetting_social_links_pos,3,
644,5,tag,Color,[],1501781948,#353c41,frontendcolors,FALSE,themesetting_tag,8,
645,5,pagination_active,Color,[],1501781948,#3e4148,buttoncolors,FALSE,themesetting_pagination_active,14,
646,5,link_button,Color,[],1501781948,#8d9aa6,buttoncolors,FALSE,themesetting_link_button,15,
647,5,featured,Color,[],1501781948,#d66723,frontendcolors,FALSE,themesetting_featured_color,41,
648,5,headline_font,Select,"[{""key"":""default"",""value"":""Default""},{""key"":""Lato"",""value"":""Lato""},{""key"":""Open Sans"",""value"":""Open Sans""},{""key"":""Roboto"",""value"":""Roboto""},{""key"":""Roboto Slab"",""value"":""Roboto Slab""},{""key"":""Montserrat"",""value"":""Montserrat""},{""key"":""Merriweather"",""value"":""Merriweather""}]",1501781948,Roboto,textcolors,TRUE,themesetting_headline_font,2,
649,5,comment_count,Color,[],1501781948,#353c41,frontendcolors,FALSE,themesetting_comment_count,39,
650,5,comment_count_font,Color,[],1501781948,#ffffff,frontendcolors,FALSE,themesetting_comment_count_font,40,
651,5,body_font,Select,"[{""key"":""default"",""value"":""Default""},{""key"":""Lato"",""value"":""Lato""},{""key"":""Open Sans"",""value"":""Open Sans""},{""key"":""Roboto"",""value"":""Roboto""},{""key"":""Roboto Slab"",""value"":""Roboto Slab""},{""key"":""Montserrat"",""value"":""Montserrat""},{""key"":""Merriweather"",""value"":""Merriweather""}]",1501781948,Roboto,textcolors,TRUE,themesetting_body_font,1,
655,1,trophy_second,Color,[],1501782239,#c0c0c0,frontendcolors,TRUE,themesetting_trophy_second,36,
656,1,trophy_third,Color,[],1501782239,#cd7f32,frontendcolors,FALSE,themesetting_trophy_third,37,
657,1,text_dark,Color,[],1501782239,#1e2225,textcolors,FALSE,themesetting_dark_text_color,4,
658,1,social_links,Radio,"[{""key"":""header"",""value"":""themesetting_header""},{""key"":""footer"",""value"":""themesetting_footer""}]",1501782239,footer,custom,TRUE,themesetting_social_links_pos,3,
659,1,tag,Color,[],1501782239,#353c41,frontendcolors,FALSE,themesetting_tag,8,
660,1,pagination_active,Color,[],1501782239,#3e4148,buttoncolors,FALSE,themesetting_pagination_active,14,
661,1,link_button,Color,[],1501782239,#8d9aa6,buttoncolors,FALSE,themesetting_link_button,15,
662,1,featured,Color,[],1501782239,#d66723,frontendcolors,FALSE,themesetting_featured_color,41,
663,1,headline_font,Select,"[{""key"":""default"",""value"":""Default""},{""key"":""Lato"",""value"":""Lato""},{""key"":""Open Sans"",""value"":""Open Sans""},{""key"":""Roboto"",""value"":""Roboto""},{""key"":""Roboto Slab"",""value"":""Roboto Slab""},{""key"":""Montserrat"",""value"":""Montserrat""},{""key"":""Merriweather"",""value"":""Merriweather""}]",1501782239,Roboto,textcolors,TRUE,themesetting_headline_font,2,
664,1,comment_count,Color,[],1501782239,#353c41,frontendcolors,FALSE,themesetting_comment_count,39,
665,1,comment_count_font,Color,[],1501782239,#ffffff,frontendcolors,FALSE,themesetting_comment_count_font,40,
