id,typed,image,clickable,emo_set,emo_position,emo_set_position
188,:arditi:,emoticons/arditi.png,TRUE,b01a32b9ac8d7e06dd8cdc8ece08748d,13,4
189,:deathR:,emoticons/deathR.png,TRUE,b01a32b9ac8d7e06dd8cdc8ece08748d,5,4
190,:fasces:,emoticons/fasces.png,TRUE,b01a32b9ac8d7e06dd8cdc8ece08748d,14,4
191,:happyTTNKPF:,emoticons/happyTTNKPF.png,TRUE,b01a32b9ac8d7e06dd8cdc8ece08748d,12,4
192,:kolovrat:,emoticons/kolovrat.png,TRUE,b01a32b9ac8d7e06dd8cdc8ece08748d,9,4
193,:lifeR:,emoticons/lifeR.png,TRUE,b01a32b9ac8d7e06dd8cdc8ece08748d,4,4
194,:ordoss:,emoticons/ordoss.png,TRUE,b01a32b9ac8d7e06dd8cdc8ece08748d,3,4
195,:siege:,emoticons/siege.png,TRUE,b01a32b9ac8d7e06dd8cdc8ece08748d,10,4
196,:sun:,emoticons/sun.png,TRUE,b01a32b9ac8d7e06dd8cdc8ece08748d,1,4
197,:trif:,emoticons/trif.png,TRUE,b01a32b9ac8d7e06dd8cdc8ece08748d,8,4
198,:Uorder:,emoticons/Uorder.png,TRUE,b01a32b9ac8d7e06dd8cdc8ece08748d,11,4
199,:windmill:,emoticons/windmill.png,TRUE,b01a32b9ac8d7e06dd8cdc8ece08748d,2,4
200,:wolfh:,emoticons/wolfh.png,TRUE,b01a32b9ac8d7e06dd8cdc8ece08748d,6,4
201,:wolfv:,emoticons/wolfv.png,TRUE,b01a32b9ac8d7e06dd8cdc8ece08748d,7,4
207,:nooseH:,emoticons/nooseH.png,TRUE,f700487c16e5f786381778914e725e1b,19,6
205,:PJG:,emoticons/PJG.png,TRUE,f4d7fd352cf45fbb5314148f24562479,3,5
206,:varg:,emoticons/varg.png,TRUE,f4d7fd352cf45fbb5314148f24562479,5,5
209,:swstkrck:,emoticons/swstkrck.png,TRUE,f700487c16e5f786381778914e725e1b,15,6
210,:AH88:,emoticons/AH88.png,TRUE,f4d7fd352cf45fbb5314148f24562479,1,5
211,:mussolini:,emoticons/mussolini.png,TRUE,f4d7fd352cf45fbb5314148f24562479,2,5
212,:terror:,emoticons/terror.png,TRUE,f4d7fd352cf45fbb5314148f24562479,7,5
214,:srshitler:,emoticons/srshitler.png,TRUE,f700487c16e5f786381778914e725e1b,1,6
