id,value_1,value_4,time
278,1,members,1501909941
279,34,guests,1501913393
280,1,members,1501913393
281,114,guests,1501918408
282,1,members,1501918408
283,114,guests,1501922734
284,1,members,1501922734
285,59,guests,1501923594
286,1,members,1501923594
287,66,guests,1501924435
288,1,members,1501924435
289,42,guests,1501925276
290,1,members,1501925276
291,53,guests,1501926124
292,1,members,1501926124
293,52,guests,1501926980
294,1,members,1501926980
295,50,guests,1501927823
296,1,members,1501927823
297,54,guests,1501928671
298,1,members,1501928671
299,75,guests,1501929523
300,1,members,1501929523
301,70,guests,1501930383
302,1,members,1501930383
303,75,guests,1501931243
304,1,members,1501931243
305,43,guests,1501932103
306,1,members,1501932103
307,43,guests,1501932955
308,1,members,1501932955
309,43,guests,1501933827
310,1,members,1501933827
311,61,guests,1501934672
312,1,members,1501934672
313,47,guests,1501935530
314,1,members,1501935530
315,57,guests,1501936384
316,1,members,1501936384
317,46,guests,1501937226
318,1,members,1501937226
319,56,guests,1501938070
320,1,members,1501938070
321,38,guests,1501938927
322,1,members,1501938927
323,42,guests,1501939770
324,1,members,1501939770
325,40,guests,1501940630
326,1,members,1501940630
327,48,guests,1501941490
328,1,members,1501941490
329,53,guests,1501942337
330,1,members,1501942337
331,64,guests,1501943199
332,1,members,1501943199
333,43,guests,1501944041
334,1,members,1501944041
335,53,guests,1501944898
336,1,members,1501944898
337,38,guests,1501945751
338,1,members,1501945751
339,52,guests,1501946611
340,1,members,1501946611
341,54,guests,1501947471
342,1,members,1501947471
343,70,guests,1501948345
344,1,members,1501948345
345,46,guests,1501949206
346,1,members,1501949206
347,64,guests,1501950059
348,1,members,1501950059
349,45,guests,1501950915
350,1,members,1501950915
351,57,guests,1501951772
352,1,members,1501951772
353,54,guests,1501952737
354,1,members,1501952737
355,64,guests,1501953617
356,1,members,1501953617
357,43,guests,1501954497
358,1,members,1501954497
359,63,guests,1501955368
360,1,members,1501955368
361,44,guests,1501956229
362,1,members,1501956229
363,56,guests,1501957090
364,2,members,1501957090
365,37,guests,1501957958
366,2,members,1501957958
367,56,guests,1501958804
368,2,members,1501958804
369,55,guests,1501959646
370,1,members,1501959646
371,66,guests,1501960529
372,1,members,1501960529
373,34,guests,1501961371
374,1,members,1501961371
375,41,guests,1501962214
376,1,members,1501962214
377,67,guests,1501963095
378,1,members,1501963095
379,46,guests,1501963936
380,1,members,1501963936
381,60,guests,1501964778
382,1,members,1501964778
383,49,guests,1501965623
384,1,members,1501965623
385,59,guests,1501966477
386,1,members,1501966477
387,39,guests,1501967377
388,1,members,1501967377
389,39,guests,1501968783
390,1,members,1501968783
391,39,guests,1501969639
392,1,members,1501969639
393,61,guests,1501970496
394,1,members,1501970496
395,42,guests,1501971365
396,0,members,1501971365
397,60,guests,1501972207
398,0,members,1501972207
399,55,guests,1501973051
400,0,members,1501973051
401,71,guests,1501973911
402,0,members,1501973911
403,56,guests,1501974763
404,1,members,1501974763
405,69,guests,1501975619
406,1,members,1501975619
407,46,guests,1501976479
408,0,members,1501976479
409,58,guests,1501977320
410,0,members,1501977320
411,48,guests,1501978200
412,0,members,1501978200
413,65,guests,1501979141
414,1,members,1501979141
415,58,guests,1501980060
416,1,members,1501980060
417,67,guests,1501980961
418,1,members,1501980961
419,33,guests,1501983233
420,1,members,1501983233
421,44,guests,1501986044
422,1,members,1501986044
423,41,guests,1501990430
424,1,members,1501990430
425,70,guests,1501993185
426,1,members,1501993185
427,36,guests,1501999099
428,1,members,1501999099
429,65,guests,1502000571
430,1,members,1502000571
431,35,guests,1502004630
432,1,members,1502004630
433,63,guests,1502009795
434,1,members,1502009795
435,36,guests,1502010641
436,1,members,1502010641
437,46,guests,1502011497
438,1,members,1502011497
439,45,guests,1502012365
440,1,members,1502012365
441,60,guests,1502013213
442,1,members,1502013213
443,43,guests,1502014072
444,1,members,1502014072
445,55,guests,1502014917
446,1,members,1502014917
447,41,guests,1502015786
448,1,members,1502015786
449,49,guests,1502016628
450,2,members,1502016628
451,40,guests,1502017471
452,2,members,1502017471
453,51,guests,1502018325
454,2,members,1502018325
455,60,guests,1502019171
456,2,members,1502019171
457,73,guests,1502020023
458,2,members,1502020023
459,67,guests,1502020866
460,2,members,1502020866
461,76,guests,1502021717
462,2,members,1502021717
463,50,guests,1502022567
464,2,members,1502022567
465,56,guests,1502023430
466,2,members,1502023430
467,26,guests,1502024449
468,2,members,1502024449
469,53,guests,1502025371
470,2,members,1502025371
471,35,guests,1502026251
472,1,members,1502026251
473,50,guests,1502027271
474,1,members,1502027271
475,46,guests,1502028137
476,1,members,1502028137
477,60,guests,1502029008
478,1,members,1502029008
479,53,guests,1502029866
480,1,members,1502029866
481,69,guests,1502030746
482,1,members,1502030746
483,41,guests,1502031587
484,1,members,1502031587
485,68,guests,1502032468
486,1,members,1502032468
487,54,guests,1502033309
488,1,members,1502033309
489,63,guests,1502034184
490,1,members,1502034184
491,45,guests,1502035026
492,1,members,1502035026
493,44,guests,1502035875
494,1,members,1502035875
495,44,guests,1502036725
496,1,members,1502036725
497,54,guests,1502037593
498,1,members,1502037593
499,39,guests,1502038444
500,1,members,1502038444
501,49,guests,1502039305
502,1,members,1502039305
503,33,guests,1502040185
504,1,members,1502040185
505,42,guests,1502041065
506,1,members,1502041065
507,38,guests,1502041960
508,1,members,1502041960
509,46,guests,1502042801
510,1,members,1502042801
511,34,guests,1502044036
512,1,members,1502044036
513,44,guests,1502044879
514,1,members,1502044879
515,90,guests,1502045720
516,90,guests,1502045720
517,1,members,1502045720
518,1,members,1502045720
519,86,guests,1502046563
520,86,guests,1502046563
521,1,members,1502046563
522,1,members,1502046563
523,78,guests,1502047405
524,1,members,1502047405
525,97,guests,1502048247
526,1,members,1502048247
527,71,guests,1502049092
528,1,members,1502049092
529,95,guests,1502049933
530,1,members,1502049933
531,63,guests,1502050774
532,1,members,1502050774
533,81,guests,1502051616
534,1,members,1502051616
535,74,guests,1502052458
536,1,members,1502052458
537,98,guests,1502053300
538,1,members,1502053300
539,79,guests,1502054142
540,1,members,1502054142
541,66,guests,1502054983
542,1,members,1502054983
543,62,guests,1502055828
544,1,members,1502055828
545,55,guests,1502056671
546,1,members,1502056671
547,62,guests,1502057512
548,62,guests,1502057512
549,1,members,1502057512
550,1,members,1502057512
551,68,guests,1502058354
552,68,guests,1502058354
553,1,members,1502058354
554,1,members,1502058354
555,78,guests,1502059196
556,1,members,1502059196
557,79,guests,1502060038
558,1,members,1502060038
559,98,guests,1502060879
560,1,members,1502060879
561,85,guests,1502061723
562,1,members,1502061723
563,68,guests,1502062564
564,1,members,1502062564
565,66,guests,1502063406
566,1,members,1502063406
567,61,guests,1502064249
568,1,members,1502064249
569,60,guests,1502065093
570,1,members,1502065093
571,66,guests,1502065934
572,1,members,1502065934
573,59,guests,1502066776
574,1,members,1502066776
575,67,guests,1502067618
576,1,members,1502067618
577,61,guests,1502068459
578,1,members,1502068459
579,78,guests,1502069300
580,1,members,1502069300
581,61,guests,1502070141
582,1,members,1502070141
583,78,guests,1502070990
584,1,members,1502070990
585,64,guests,1502071832
586,64,guests,1502071832
587,1,members,1502071832
588,1,members,1502071832
589,74,guests,1502072674
590,1,members,1502072674
591,51,guests,1502073516
592,1,members,1502073516
593,74,guests,1502074358
594,1,members,1502074358
595,65,guests,1502075201
596,1,members,1502075201
597,82,guests,1502076042
598,1,members,1502076042
599,62,guests,1502076883
600,1,members,1502076883
601,78,guests,1502077726
602,1,members,1502077726
603,65,guests,1502078568
604,1,members,1502078568
605,71,guests,1502079412
606,1,members,1502079412
607,67,guests,1502080255
608,1,members,1502080255
609,75,guests,1502081099
610,1,members,1502081099
611,64,guests,1502081941
612,1,members,1502081941
613,81,guests,1502082782
614,1,members,1502082782
615,69,guests,1502083627
616,1,members,1502083627
617,82,guests,1502084471
618,1,members,1502084471
619,69,guests,1502085314
620,1,members,1502085314
621,87,guests,1502086157
622,1,members,1502086157
623,60,guests,1502086998
624,1,members,1502086998
625,82,guests,1502087841
626,1,members,1502087841
627,93,guests,1502088682
628,1,members,1502088682
629,67,guests,1502089523
630,1,members,1502089523
631,79,guests,1502090365
632,1,members,1502090365
633,77,guests,1502091210
634,1,members,1502091210
635,49,guests,1502092054
636,1,members,1502092054
637,67,guests,1502092896
638,1,members,1502092896
639,74,guests,1502093741
640,1,members,1502093741
641,85,guests,1502094582
642,1,members,1502094582
643,86,guests,1502095427
644,1,members,1502095427
645,68,guests,1502096271
646,1,members,1502096271
647,65,guests,1502097113
648,1,members,1502097113
649,80,guests,1502097954
650,80,guests,1502097954
651,1,members,1502097954
652,1,members,1502097954
653,90,guests,1502098798
654,1,members,1502098798
655,60,guests,1502099640
656,1,members,1502099640
657,69,guests,1502100482
658,1,members,1502100482
659,67,guests,1502101326
660,1,members,1502101326
661,88,guests,1502102167
662,88,guests,1502102167
663,1,members,1502102167
664,1,members,1502102167
665,72,guests,1502103018
666,1,members,1502103018
667,64,guests,1502103861
668,1,members,1502103861
669,45,guests,1502104703
670,1,members,1502104703
671,67,guests,1502105545
672,1,members,1502105545
673,66,guests,1502106387
674,1,members,1502106387
675,63,guests,1502107230
676,1,members,1502107230
677,48,guests,1502108075
678,1,members,1502108075
679,66,guests,1502108918
680,1,members,1502108918
681,51,guests,1502109760
682,1,members,1502109760
683,60,guests,1502110602
684,1,members,1502110602
685,33,guests,1502111449
686,1,members,1502111449
687,47,guests,1502112295
688,1,members,1502112295
689,61,guests,1502113136
690,1,members,1502113136
691,48,guests,1502113980
692,1,members,1502113980
693,59,guests,1502114823
694,1,members,1502114823
