perm_id,app,perm_type,perm_type_id,perm_view,perm_2,perm_3,perm_4,perm_6,owner_only
135,forums,forum,115,"4,13,6,10","4,13,6,10","4,13,6,10","4,13,6,10",,FALSE
136,forums,forum,116,"4,13,6,10","4,13,6,10","4,13,6,10","4,13,6,10",,FALSE
137,forums,forum,117,"4,13,6,10","4,13,6,10","4,13,6,10","4,13,6,10",,FALSE
138,forums,forum,118,"4,13,6,10","4,13,6,10","4,13,6,10","4,13,6,10",,FALSE
139,forums,forum,119,"4,13,6,10","4,13,6,10","4,13,6,10","4,13,6,10",,FALSE
144,forums,forum,124,"4,13,6,10","4,13,6,10","4,13,6,10","4,13,6,10",,FALSE
141,forums,forum,121,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
145,forums,forum,125,"4,13,6,10","4,13,6,10","4,13,6,10","4,13,6,10",,FALSE
146,forums,forum,126,"4,13,6,10","4,13,6,10","4,13,6,10","4,13,6,10",,FALSE
147,forums,forum,127,"4,13,6,10","4,13,6,10","4,13,6,10","4,13,6,10",,FALSE
148,forums,forum,128,"4,13,6,10","4,13,6,10","4,13,6,10","4,13,6,10",,FALSE
149,forums,forum,129,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
150,forums,forum,130,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
151,forums,forum,131,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
152,forums,forum,132,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
153,forums,forum,133,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
154,forums,forum,134,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
155,forums,forum,135,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
156,forums,forum,136,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
158,forums,forum,138,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
159,forums,forum,139,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
160,forums,forum,140,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
161,forums,forum,141,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
162,forums,forum,142,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
163,forums,forum,143,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
164,forums,forum,144,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
165,forums,forum,145,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
166,forums,forum,146,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
167,forums,forum,147,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
168,forums,forum,148,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
169,forums,forum,149,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
170,forums,forum,150,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
171,forums,forum,151,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
172,forums,forum,152,"4,13,6,10","4,13,6,10","4,13,6,10","4,13,6,10",,FALSE
173,forums,forum,153,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
174,forums,forum,154,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
176,forums,forum,155,"4,13,6,10","4,13,6,10","4,13,6,10","4,13,6,10",,FALSE
177,forums,forum,156,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
178,forums,forum,157,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
