url,app,lang_key,restriction,keyword
app=core&module=settings&controller=posting&tab=urlFilters&searchResult=form_links_external,core,links_external,posting_manage,link
app=core&module=settings&controller=posting&tab=urlFilters&searchResult=form_links_external,core,links_external,posting_manage,tab
app=core&module=settings&controller=posting&tab=urlFilters,core,ipb_url_filter_option,posting_manage_url,urls
app=core&module=settings&controller=posting&tab=urlFilters&searchResult=form_links_external,core,links_external,posting_manage,blank
app=core&module=settings&controller=posting&tab=urlFilters,core,ipb_url_filter_option,posting_manage_url,whitelist
app=core&module=settings&controller=posting&tab=tags&searchResult=tags_can_prefix,core,tags_can_prefix,posting_manage,prefix
app=core&module=settings&controller=posting&tab=tags&searchResult=tags_can_prefix,core,tags_can_prefix,posting_manage,prefixes
app=core&module=settings&controller=posting&tab=urlFilters,core,ipb_url_filter_option,posting_manage_url,blacklist
app=core&module=settings&controller=posting&tab=urlFilters,core,ipb_url_filter_option,posting_manage_url,links
app=core&module=settings&controller=posting&tab=tags,core,tags,posting_manage_tags,tags
app=core&module=settings&controller=posting&tab=tags,core,tags,posting_manage_tags,tagging
app=core&module=settings&controller=posting&tab=tags,core,tags,posting_manage_tags,prefixes
app=core&module=settings&controller=posting&tab=profanityFilters,core,profanity,posting_manage_profanity,swear words
app=core&module=settings&controller=posting&tab=polls,core,polls,posting_manage_polls,vote
app=core&module=settings&controller=posting&tab=profanityFilters,core,profanity,posting_manage_profanity,bad words
app=core&module=settings&controller=posting&tab=profanityFilters,core,profanity,posting_manage_profanity,profanity
app=core&module=settings&controller=posting&tab=polls,core,polls,posting_manage_polls,question
app=core&module=settings&controller=posting&tab=polls,core,polls,posting_manage_polls,polls
app=core&module=settings&controller=posting&tab=general&searchResult=form_reviews_rating_out_of,core,reviews_rating_out_of,,reviews
app=core&module=settings&controller=posting&tab=general&searchResult=form_reviews_rating_out_of,core,reviews_rating_out_of,,stars
app=core&module=settings&controller=posting&tab=general&searchResult=form_topic_redirect_prune,core,topic_redirect_prune,,moved
