pid,start_date,choices,starter_id,votes,poll_question,poll_view_voters
36,2015-04-01T22:02:49Z,"{""1"":{""question"":""Where do you live?"",""choice"":{""1"":""With parents "",""2"":""at school\/camp"",""3"":""my own home"",""4"":""hobo\/squatter""},""votes"":{""1"":36,""2"":4,""3"":17,""4"":4}},""2"":{""question"":""Do have a job?"",""choice"":{""1"":""Yes"",""2"":""No, NEET master race reporting in"",""3"":""hobo""},""votes"":{""1"":34,""2"":23,""3"":4}},""3"":{""question"":""class?"",""choice"":{""1"":""Higher Upper class (but babe, im the fuhrer&#33;)"",""2"":""Upper class"",""3"":""Higher middle class"",""4"":""middle class"",""5"":""lower class""},""votes"":{""1"":2,""2"":2,""3"":10,""4"":32,""5"":15}}}",7508,61,,FALSE
37,2015-07-15T12:47:43Z,"{""1"":{""question"":""What was best\/least bad Russia?"",""choice"":{""1"":""The Russian Empire"",""2"":""The Soviet union (under Stalin)""},""votes"":{""1"":35,""2"":2}}}",9240,37,Greater slavland,FALSE
38,2015-07-28T10:02:50Z,"{""1"":{""question"":""Do gas chambers work on plants?"",""choice"":{""1"":""No"",""2"":""Maybe if you&#39;re extra-thorough..."",""3"":""They put cyanide in their fucking seeds""},""votes"":{""1"":0,""2"":3,""3"":4}}}",0,7,u wot,TRUE
40,2015-09-28T11:52:44Z,"{""1"":{""question"":""What SHOULD be the proper way of handling Muslim immigrants in Europe?"",""multi"":1,""choice"":{""1"":""Kill them. Concentration camps and other."",""2"":""Enslave them and make them work for the state."",""3"":""Deport them out of Europe."",""4"":""Other.""},""votes"":{""1"":38,""2"":11,""3"":59,""4"":8}}}",9267,102,"Enslave, kill or other?",TRUE
41,2016-01-15T06:29:54Z,"{""1"":{""question"":""Is solely Bible-based Christian Theocracy compatible with Fascist values? Why? Why not? What else?"",""choice"":{""1"":""Yes"",""2"":""No"",""3"":""Depends"",""4"":""Fuck off. We of Evola&#39;s Hyperborean Black-Sun Cult now""},""votes"":{""1"":20,""2"":14,""3"":11,""4"":12}}}",9720,57,100% Bible-Only Theocracy compatible with Fascism? Why? Why not?,TRUE
43,2016-02-27T06:41:55Z,"{""1"":{""question"":""Which State are you in?"",""choice"":{""1"":""Queensland"",""2"":""New South Wales"",""3"":""Victoria"",""4"":""Kikeberra"",""5"":""South Australia"",""6"":""Western Australia"",""7"":""Northern Terrority"",""8"":""New Zealand"",""9"":""Tasmania ""},""votes"":{""1"":2,""2"":1,""3"":3,""4"":0,""5"":1,""6"":0,""7"":0,""8"":0,""9"":1}},""2"":{""question"":""Willing to particpate in some info-activism?"",""choice"":{""1"":""Yes"",""2"":""No""},""votes"":{""1"":7,""2"":1}}}",9905,8,Which State are you in,FALSE
44,2016-04-01T11:20:59Z,"{""1"":{""question"":""What economic system is best?"",""multi"":0,""choice"":{""1"":""Nazi economics"",""2"":""Duginist beard trading"",""3"":""Superior Free Market economy"",""4"":""Corporatism (Mussolini, USA, STATE+COMPANY(!!!!))"",""5"":""I am a special snowflake\/IDC\/IDK""},""votes"":{""1"":21,""2"":8,""3"":4,""4"":3,""5"":8}}}",1558,44,What economic system is best?,TRUE
45,2016-09-13T19:55:23Z,"{""1"":{""question"":""Which IM backgrounds do you use?"",""multi"":1,""choice"":{""1"":""The Mountains"",""2"":""Morning at the Seraphim-Diveevo Monastery"",""3"":""Eisenwalzwerk (Iron Rolling Mill)"",""4"":""The School of Athens"",""5"":""Destruction"",""6"":""Fra Romsdalen""},""votes"":{""1"":11,""2"":1,""3"":5,""4"":1,""5"":0,""6"":2}}}",1,16,Which IM backgrounds do you use?,FALSE
47,2016-11-01T14:37:07Z,"{""1"":{""question"":""Should tinder\/other site users be gassed? "",""multi"":0,""choice"":{""1"":""Yes "",""2"":""No, it is acceptable as last resort.""},""votes"":{""1"":47,""2"":12}}}",13106,59,Poll,FALSE
48,2016-11-17T21:10:07Z,"{""1"":{""question"":""Are contraceptive pills degenerate ?"",""multi"":0,""choice"":{""1"":""Yes"",""2"":""No""},""votes"":{""1"":32,""2"":4}}}",11769,36,Are contraceptive pills degenerate ?,FALSE
46,2016-09-29T17:55:55Z,"{""1"":{""question"":""Would you accept other nationalists in your country?"",""multi"":0,""choice"":{""1"":""Yes"",""2"":""No""},""votes"":{""1"":36,""2"":11}}}",13366,47,Would you accept other nationalists in your country?,FALSE
