index_author_id,index_item_id,index_class
6115,17,IPS\forums\Topic
6144,17,IPS\forums\Topic
6190,17,IPS\forums\Topic
9174,17,IPS\forums\Topic
9393,17,IPS\forums\Topic
9503,17,IPS\forums\Topic
9950,17,IPS\forums\Topic
13784,17,IPS\forums\Topic
1,18,IPS\calendar\Event
0,18,IPS\forums\Topic
1,18,IPS\forums\Topic
7,18,IPS\forums\Topic
9,18,IPS\forums\Topic
16,18,IPS\forums\Topic
1,19,IPS\calendar\Event
9668,19,IPS\calendar\Event
13167,19,IPS\calendar\Event
13893,19,IPS\calendar\Event
14300,19,IPS\calendar\Event
14452,19,IPS\calendar\Event
143,19,IPS\core\Statuses\Status
1,19,IPS\forums\Topic
9446,19,IPS\forums\Topic
13831,19,IPS\forums\Topic
1,20,IPS\calendar\Event
143,20,IPS\core\Statuses\Status
1,20,IPS\forums\Topic
1,21,IPS\calendar\Event
0,21,IPS\forums\Topic
1,21,IPS\forums\Topic
7,21,IPS\forums\Topic
68,21,IPS\forums\Topic
9353,21,IPS\forums\Topic
1,22,IPS\calendar\Event
0,22,IPS\forums\Topic
1,22,IPS\forums\Topic
2,22,IPS\forums\Topic
3,22,IPS\forums\Topic
4,22,IPS\forums\Topic
9,22,IPS\forums\Topic
11,22,IPS\forums\Topic
12,22,IPS\forums\Topic
16,22,IPS\forums\Topic
19,22,IPS\forums\Topic
37,22,IPS\forums\Topic
40,22,IPS\forums\Topic
49,22,IPS\forums\Topic
65,22,IPS\forums\Topic
67,22,IPS\forums\Topic
100,22,IPS\forums\Topic
132,22,IPS\forums\Topic
164,22,IPS\forums\Topic
274,22,IPS\forums\Topic
279,22,IPS\forums\Topic
281,22,IPS\forums\Topic
283,22,IPS\forums\Topic
288,22,IPS\forums\Topic
1066,22,IPS\forums\Topic
1558,22,IPS\forums\Topic
2099,22,IPS\forums\Topic
2220,22,IPS\forums\Topic
2392,22,IPS\forums\Topic
2820,22,IPS\forums\Topic
4339,22,IPS\forums\Topic
6113,22,IPS\forums\Topic
6117,22,IPS\forums\Topic
6122,22,IPS\forums\Topic
6145,22,IPS\forums\Topic
6247,22,IPS\forums\Topic
6254,22,IPS\forums\Topic
6278,22,IPS\forums\Topic
6321,22,IPS\forums\Topic
7424,22,IPS\forums\Topic
7427,22,IPS\forums\Topic
7481,22,IPS\forums\Topic
7760,22,IPS\forums\Topic
8102,22,IPS\forums\Topic
8117,22,IPS\forums\Topic
8232,22,IPS\forums\Topic
9335,22,IPS\forums\Topic
9393,22,IPS\forums\Topic
9475,22,IPS\forums\Topic
9503,22,IPS\forums\Topic
9531,22,IPS\forums\Topic
9610,22,IPS\forums\Topic
9720,22,IPS\forums\Topic
14140,22,IPS\forums\Topic
14268,22,IPS\forums\Topic
1,23,IPS\calendar\Event
1,24,IPS\calendar\Event
0,24,IPS\forums\Topic
1,24,IPS\forums\Topic
4,24,IPS\forums\Topic
9,24,IPS\forums\Topic
13,24,IPS\forums\Topic
16,24,IPS\forums\Topic
19,24,IPS\forums\Topic
43,24,IPS\forums\Topic
54,24,IPS\forums\Topic
67,24,IPS\forums\Topic
68,24,IPS\forums\Topic
111,24,IPS\forums\Topic
130,24,IPS\forums\Topic
158,24,IPS\forums\Topic
164,24,IPS\forums\Topic
188,24,IPS\forums\Topic
255,24,IPS\forums\Topic
274,24,IPS\forums\Topic
279,24,IPS\forums\Topic
288,24,IPS\forums\Topic
298,24,IPS\forums\Topic
1558,24,IPS\forums\Topic
2099,24,IPS\forums\Topic
2392,24,IPS\forums\Topic
8026,24,IPS\forums\Topic
9475,24,IPS\forums\Topic
1,25,IPS\calendar\Event
143,25,IPS\core\Statuses\Status
1,26,IPS\calendar\Event
84,26,IPS\core\Statuses\Status
1,26,IPS\forums\Topic
1,27,IPS\calendar\Event
161,27,IPS\core\Statuses\Status
1,27,IPS\forums\Topic
7,27,IPS\forums\Topic
9,27,IPS\forums\Topic
13,27,IPS\forums\Topic
84,27,IPS\forums\Topic
279,27,IPS\forums\Topic
1,28,IPS\calendar\Event
143,28,IPS\core\Statuses\Status
1,29,IPS\calendar\Event
130,29,IPS\core\Statuses\Status
1,30,IPS\calendar\Event
1,30,IPS\forums\Topic
9,30,IPS\forums\Topic
1,31,IPS\calendar\Event
2,31,IPS\forums\Topic
5,31,IPS\forums\Topic
7,31,IPS\forums\Topic
9,31,IPS\forums\Topic
19,31,IPS\forums\Topic
49,31,IPS\forums\Topic
68,31,IPS\forums\Topic
1,32,IPS\calendar\Event
1,32,IPS\forums\Topic
1,33,IPS\calendar\Event
5,33,IPS\forums\Topic
1,34,IPS\calendar\Event
0,34,IPS\forums\Topic
1,34,IPS\forums\Topic
2,34,IPS\forums\Topic
3,34,IPS\forums\Topic
4,34,IPS\forums\Topic
5,34,IPS\forums\Topic
7,34,IPS\forums\Topic
8,34,IPS\forums\Topic
9,34,IPS\forums\Topic
11,34,IPS\forums\Topic
12,34,IPS\forums\Topic
13,34,IPS\forums\Topic
14,34,IPS\forums\Topic
16,34,IPS\forums\Topic
23,34,IPS\forums\Topic
25,34,IPS\forums\Topic
28,34,IPS\forums\Topic
29,34,IPS\forums\Topic
35,34,IPS\forums\Topic
44,34,IPS\forums\Topic
49,34,IPS\forums\Topic
50,34,IPS\forums\Topic
53,34,IPS\forums\Topic
54,34,IPS\forums\Topic
56,34,IPS\forums\Topic
65,34,IPS\forums\Topic
67,34,IPS\forums\Topic
68,34,IPS\forums\Topic
72,34,IPS\forums\Topic
84,34,IPS\forums\Topic
89,34,IPS\forums\Topic
100,34,IPS\forums\Topic
101,34,IPS\forums\Topic
108,34,IPS\forums\Topic
112,34,IPS\forums\Topic
125,34,IPS\forums\Topic
129,34,IPS\forums\Topic
130,34,IPS\forums\Topic
131,34,IPS\forums\Topic
132,34,IPS\forums\Topic
142,34,IPS\forums\Topic
143,34,IPS\forums\Topic
146,34,IPS\forums\Topic
161,34,IPS\forums\Topic
164,34,IPS\forums\Topic
168,34,IPS\forums\Topic
197,34,IPS\forums\Topic
204,34,IPS\forums\Topic
239,34,IPS\forums\Topic
240,34,IPS\forums\Topic
246,34,IPS\forums\Topic
261,34,IPS\forums\Topic
274,34,IPS\forums\Topic
279,34,IPS\forums\Topic
281,34,IPS\forums\Topic
283,34,IPS\forums\Topic
287,34,IPS\forums\Topic
288,34,IPS\forums\Topic
293,34,IPS\forums\Topic
298,34,IPS\forums\Topic
317,34,IPS\forums\Topic
320,34,IPS\forums\Topic
329,34,IPS\forums\Topic
333,34,IPS\forums\Topic
335,34,IPS\forums\Topic
342,34,IPS\forums\Topic
353,34,IPS\forums\Topic
364,34,IPS\forums\Topic
495,34,IPS\forums\Topic
805,34,IPS\forums\Topic
821,34,IPS\forums\Topic
958,34,IPS\forums\Topic
991,34,IPS\forums\Topic
1066,34,IPS\forums\Topic
1109,34,IPS\forums\Topic
1209,34,IPS\forums\Topic
1558,34,IPS\forums\Topic
1772,34,IPS\forums\Topic
1986,34,IPS\forums\Topic
2027,34,IPS\forums\Topic
2037,34,IPS\forums\Topic
2075,34,IPS\forums\Topic
2082,34,IPS\forums\Topic
2099,34,IPS\forums\Topic
2144,34,IPS\forums\Topic
2170,34,IPS\forums\Topic
2220,34,IPS\forums\Topic
2306,34,IPS\forums\Topic
2392,34,IPS\forums\Topic
2750,34,IPS\forums\Topic
2820,34,IPS\forums\Topic
3491,34,IPS\forums\Topic
3721,34,IPS\forums\Topic
4151,34,IPS\forums\Topic
4873,34,IPS\forums\Topic
5343,34,IPS\forums\Topic
5359,34,IPS\forums\Topic
6113,34,IPS\forums\Topic
6117,34,IPS\forums\Topic
6122,34,IPS\forums\Topic
6134,34,IPS\forums\Topic
6145,34,IPS\forums\Topic
6149,34,IPS\forums\Topic
6151,34,IPS\forums\Topic
6155,34,IPS\forums\Topic
6165,34,IPS\forums\Topic
6168,34,IPS\forums\Topic
6207,34,IPS\forums\Topic
6217,34,IPS\forums\Topic
6237,34,IPS\forums\Topic
6247,34,IPS\forums\Topic
6249,34,IPS\forums\Topic
6254,34,IPS\forums\Topic
6260,34,IPS\forums\Topic
6266,34,IPS\forums\Topic
6269,34,IPS\forums\Topic
6274,34,IPS\forums\Topic
6278,34,IPS\forums\Topic
6280,34,IPS\forums\Topic
6310,34,IPS\forums\Topic
6321,34,IPS\forums\Topic
6322,34,IPS\forums\Topic
6359,34,IPS\forums\Topic
7346,34,IPS\forums\Topic
7405,34,IPS\forums\Topic
7424,34,IPS\forums\Topic
7481,34,IPS\forums\Topic
7504,34,IPS\forums\Topic
7508,34,IPS\forums\Topic
7543,34,IPS\forums\Topic
7600,34,IPS\forums\Topic
7616,34,IPS\forums\Topic
7620,34,IPS\forums\Topic
7636,34,IPS\forums\Topic
7643,34,IPS\forums\Topic
7719,34,IPS\forums\Topic
7720,34,IPS\forums\Topic
7739,34,IPS\forums\Topic
7757,34,IPS\forums\Topic
7760,34,IPS\forums\Topic
7816,34,IPS\forums\Topic
7846,34,IPS\forums\Topic
7875,34,IPS\forums\Topic
7903,34,IPS\forums\Topic
7958,34,IPS\forums\Topic
7962,34,IPS\forums\Topic
7986,34,IPS\forums\Topic
8018,34,IPS\forums\Topic
8059,34,IPS\forums\Topic
8060,34,IPS\forums\Topic
8102,34,IPS\forums\Topic
8133,34,IPS\forums\Topic
8151,34,IPS\forums\Topic
8159,34,IPS\forums\Topic
8192,34,IPS\forums\Topic
8232,34,IPS\forums\Topic
8260,34,IPS\forums\Topic
8310,34,IPS\forums\Topic
8346,34,IPS\forums\Topic
8736,34,IPS\forums\Topic
8982,34,IPS\forums\Topic
9109,34,IPS\forums\Topic
9112,34,IPS\forums\Topic
9144,34,IPS\forums\Topic
9149,34,IPS\forums\Topic
9150,34,IPS\forums\Topic
9174,34,IPS\forums\Topic
9176,34,IPS\forums\Topic
9210,34,IPS\forums\Topic
9211,34,IPS\forums\Topic
9217,34,IPS\forums\Topic
9256,34,IPS\forums\Topic
9267,34,IPS\forums\Topic
9288,34,IPS\forums\Topic
9301,34,IPS\forums\Topic
9303,34,IPS\forums\Topic
9304,34,IPS\forums\Topic
9322,34,IPS\forums\Topic
9334,34,IPS\forums\Topic
9353,34,IPS\forums\Topic
9363,34,IPS\forums\Topic
9393,34,IPS\forums\Topic
9446,34,IPS\forums\Topic
9475,34,IPS\forums\Topic
9476,34,IPS\forums\Topic
9491,34,IPS\forums\Topic
9496,34,IPS\forums\Topic
9503,34,IPS\forums\Topic
9510,34,IPS\forums\Topic
9512,34,IPS\forums\Topic
9519,34,IPS\forums\Topic
9521,34,IPS\forums\Topic
9531,34,IPS\forums\Topic
9534,34,IPS\forums\Topic
9549,34,IPS\forums\Topic
9555,34,IPS\forums\Topic
9568,34,IPS\forums\Topic
9571,34,IPS\forums\Topic
9583,34,IPS\forums\Topic
9606,34,IPS\forums\Topic
9620,34,IPS\forums\Topic
9621,34,IPS\forums\Topic
9622,34,IPS\forums\Topic
9634,34,IPS\forums\Topic
9668,34,IPS\forums\Topic
9673,34,IPS\forums\Topic
9679,34,IPS\forums\Topic
9681,34,IPS\forums\Topic
9690,34,IPS\forums\Topic
9694,34,IPS\forums\Topic
9698,34,IPS\forums\Topic
9705,34,IPS\forums\Topic
9720,34,IPS\forums\Topic
9742,34,IPS\forums\Topic
9786,34,IPS\forums\Topic
9792,34,IPS\forums\Topic
9857,34,IPS\forums\Topic
9861,34,IPS\forums\Topic
9863,34,IPS\forums\Topic
9864,34,IPS\forums\Topic
9876,34,IPS\forums\Topic
9905,34,IPS\forums\Topic
9910,34,IPS\forums\Topic
9916,34,IPS\forums\Topic
9930,34,IPS\forums\Topic
9931,34,IPS\forums\Topic
9943,34,IPS\forums\Topic
9950,34,IPS\forums\Topic
9958,34,IPS\forums\Topic
10083,34,IPS\forums\Topic
10090,34,IPS\forums\Topic
10706,34,IPS\forums\Topic
11233,34,IPS\forums\Topic
11346,34,IPS\forums\Topic
11355,34,IPS\forums\Topic
11378,34,IPS\forums\Topic
11579,34,IPS\forums\Topic
11691,34,IPS\forums\Topic
11769,34,IPS\forums\Topic
12519,34,IPS\forums\Topic
12524,34,IPS\forums\Topic
12587,34,IPS\forums\Topic
12870,34,IPS\forums\Topic
12871,34,IPS\forums\Topic
12979,34,IPS\forums\Topic
12994,34,IPS\forums\Topic
13005,34,IPS\forums\Topic
13013,34,IPS\forums\Topic
13030,34,IPS\forums\Topic
13042,34,IPS\forums\Topic
13066,34,IPS\forums\Topic
13068,34,IPS\forums\Topic
13070,34,IPS\forums\Topic
13075,34,IPS\forums\Topic
13083,34,IPS\forums\Topic
13106,34,IPS\forums\Topic
13110,34,IPS\forums\Topic
13141,34,IPS\forums\Topic
13167,34,IPS\forums\Topic
13188,34,IPS\forums\Topic
13200,34,IPS\forums\Topic
13202,34,IPS\forums\Topic
13243,34,IPS\forums\Topic
13246,34,IPS\forums\Topic
13259,34,IPS\forums\Topic
13289,34,IPS\forums\Topic
13307,34,IPS\forums\Topic
13334,34,IPS\forums\Topic
13338,34,IPS\forums\Topic
13342,34,IPS\forums\Topic
13352,34,IPS\forums\Topic
13354,34,IPS\forums\Topic
13357,34,IPS\forums\Topic
13379,34,IPS\forums\Topic
13417,34,IPS\forums\Topic
13426,34,IPS\forums\Topic
13437,34,IPS\forums\Topic
13463,34,IPS\forums\Topic
13488,34,IPS\forums\Topic
13510,34,IPS\forums\Topic
13511,34,IPS\forums\Topic
13527,34,IPS\forums\Topic
