set_id,set_name,set_key,set_is_default,set_author_name,set_author_url,set_image_dir,set_css_groups,set_added,set_output_format,set_locked_uagent,set_hide_from_list,set_minify,set_master_key,set_order
1,IP.Board,default,FALSE,"Invision Power Services, Inc",http://www.invisionpower.com,master,"a:15:{s:5:""1.185"";a:2:{s:9:""css_group"";s:15:""calendar_select"";s:12:""css_position"";s:1:""1"";}s:5:""1.186"";a:2:{s:9:""css_group"";s:12:""ipb_ckeditor"";s:12:""css_position"";s:1:""1"";}s:5:""1.187"";a:2:{s:9:""css_group"";s:10:""ipb_common"";s:12:""css_position"";s:1:""1"";}s:5:""1.188"";a:2:{s:9:""css_group"";s:10:""ipb_editor"";s:12:""css_position"";s:1:""1"";}s:5:""0.189"";a:2:{s:9:""css_group"";s:8:""ipb_help"";s:12:""css_position"";s:1:""0"";}s:5:""0.190"";a:2:{s:9:""css_group"";s:6:""ipb_ie"";s:12:""css_position"";s:1:""0"";}s:5:""1.191"";a:2:{s:9:""css_group"";s:18:""ipb_login_register"";s:12:""css_position"";s:1:""1"";}s:5:""1.212"";a:2:{s:9:""css_group"";s:13:""ipb_messenger"";s:12:""css_position"";s:1:""1"";}s:5:""1.213"";a:2:{s:9:""css_group"";s:9:""ipb_mlist"";s:12:""css_position"";s:1:""1"";}s:5:""1.214"";a:2:{s:9:""css_group"";s:16:""ipb_photo_editor"";s:12:""css_position"";s:1:""1"";}s:5:""1.192"";a:2:{s:9:""css_group"";s:9:""ipb_print"";s:12:""css_position"";s:1:""1"";}s:5:""1.215"";a:2:{s:9:""css_group"";s:11:""ipb_profile"";s:12:""css_position"";s:1:""1"";}s:5:""2.193"";a:2:{s:9:""css_group"";s:10:""ipb_search"";s:12:""css_position"";s:1:""2"";}s:5:""1.194"";a:2:{s:9:""css_group"";s:10:""ipb_styles"";s:12:""css_position"";s:1:""1"";}s:5:""1.195"";a:2:{s:9:""css_group"";s:7:""ipb_ucp"";s:12:""css_position"";s:1:""1"";}}",1313571013,html,,TRUE,TRUE,root,0
2,IP.Board Mobile,mobile,FALSE,"Invision Power Services, Inc",http://www.invisionpower.com,mobile,"a:5:{s:5:""1.196"";a:2:{s:9:""css_group"";s:15:""calendar_select"";s:12:""css_position"";s:1:""1"";}s:5:""1.197"";a:2:{s:9:""css_group"";s:10:""ipb_editor"";s:12:""css_position"";s:1:""1"";}s:5:""0.198"";a:2:{s:9:""css_group"";s:6:""ipb_ie"";s:12:""css_position"";s:1:""0"";}s:5:""1.199"";a:2:{s:9:""css_group"";s:9:""ipb_print"";s:12:""css_position"";s:1:""1"";}s:5:""1.200"";a:2:{s:9:""css_group"";s:10:""ipb_styles"";s:12:""css_position"";s:1:""1"";}}",1313571013,html,"a:2:{s:6:""groups"";a:0:{}s:7:""uagents"";a:14:{s:10:""blackberry"";s:0:"""";s:6:""iphone"";s:0:"""";s:9:""ipodtouch"";s:0:"""";s:12:""sonyericsson"";s:0:"""";s:5:""nokia"";s:0:"""";s:8:""motorola"";s:0:"""";s:7:""samsung"";s:0:"""";s:3:""htc"";s:0:"""";s:2:""lg"";s:0:"""";s:4:""palm"";s:0:"""";s:7:""android"";s:0:"""";s:13:""firefoxmobile"";s:0:"""";s:8:""windows7"";s:0:"""";s:9:""operamini"";s:0:"""";}}",TRUE,TRUE,mobile,0
6,IP.Board XML,xmlskin,FALSE,"Invision Power Services, Inc",http://www.invisionpower.com,master,"a:15:{s:5:""1.201"";a:2:{s:9:""css_group"";s:15:""calendar_select"";s:12:""css_position"";s:1:""1"";}s:5:""1.202"";a:2:{s:9:""css_group"";s:12:""ipb_ckeditor"";s:12:""css_position"";s:1:""1"";}s:5:""1.203"";a:2:{s:9:""css_group"";s:10:""ipb_common"";s:12:""css_position"";s:1:""1"";}s:5:""1.204"";a:2:{s:9:""css_group"";s:10:""ipb_editor"";s:12:""css_position"";s:1:""1"";}s:5:""0.205"";a:2:{s:9:""css_group"";s:8:""ipb_help"";s:12:""css_position"";s:1:""0"";}s:5:""0.206"";a:2:{s:9:""css_group"";s:6:""ipb_ie"";s:12:""css_position"";s:1:""0"";}s:5:""1.207"";a:2:{s:9:""css_group"";s:18:""ipb_login_register"";s:12:""css_position"";s:1:""1"";}s:5:""1.216"";a:2:{s:9:""css_group"";s:13:""ipb_messenger"";s:12:""css_position"";s:1:""1"";}s:5:""1.217"";a:2:{s:9:""css_group"";s:9:""ipb_mlist"";s:12:""css_position"";s:1:""1"";}s:5:""1.218"";a:2:{s:9:""css_group"";s:16:""ipb_photo_editor"";s:12:""css_position"";s:1:""1"";}s:5:""1.208"";a:2:{s:9:""css_group"";s:9:""ipb_print"";s:12:""css_position"";s:1:""1"";}s:5:""1.219"";a:2:{s:9:""css_group"";s:11:""ipb_profile"";s:12:""css_position"";s:1:""1"";}s:5:""2.209"";a:2:{s:9:""css_group"";s:10:""ipb_search"";s:12:""css_position"";s:1:""2"";}s:5:""1.210"";a:2:{s:9:""css_group"";s:10:""ipb_styles"";s:12:""css_position"";s:1:""1"";}s:5:""1.211"";a:2:{s:9:""css_group"";s:7:""ipb_ucp"";s:12:""css_position"";s:1:""1"";}}",1365084385,xml,,FALSE,FALSE,xmlskin,0
9,ironmarch345,ipbfsCarbonO__1374417626,TRUE,,,ironmarch345,"a:16:{s:5:""1.185"";a:2:{s:9:""css_group"";s:15:""calendar_select"";s:12:""css_position"";s:1:""1"";}s:5:""1.220"";a:2:{s:9:""css_group"";s:12:""ipb_calendar"";s:12:""css_position"";s:1:""1"";}s:5:""1.137"";a:2:{s:9:""css_group"";s:12:""ipb_ckeditor"";s:12:""css_position"";s:1:""1"";}s:5:""1.138"";a:2:{s:9:""css_group"";s:10:""ipb_common"";s:12:""css_position"";s:1:""1"";}s:5:""1.139"";a:2:{s:9:""css_group"";s:10:""ipb_editor"";s:12:""css_position"";s:1:""1"";}s:5:""0.140"";a:2:{s:9:""css_group"";s:8:""ipb_help"";s:12:""css_position"";s:1:""0"";}s:5:""0.141"";a:2:{s:9:""css_group"";s:6:""ipb_ie"";s:12:""css_position"";s:1:""0"";}s:5:""1.142"";a:2:{s:9:""css_group"";s:18:""ipb_login_register"";s:12:""css_position"";s:1:""1"";}s:5:""1.146"";a:2:{s:9:""css_group"";s:13:""ipb_messenger"";s:12:""css_position"";s:1:""1"";}s:5:""1.147"";a:2:{s:9:""css_group"";s:9:""ipb_mlist"";s:12:""css_position"";s:1:""1"";}s:5:""1.148"";a:2:{s:9:""css_group"";s:16:""ipb_photo_editor"";s:12:""css_position"";s:1:""1"";}s:5:""1.192"";a:2:{s:9:""css_group"";s:9:""ipb_print"";s:12:""css_position"";s:1:""1"";}s:5:""1.149"";a:2:{s:9:""css_group"";s:11:""ipb_profile"";s:12:""css_position"";s:1:""1"";}s:5:""2.143"";a:2:{s:9:""css_group"";s:10:""ipb_search"";s:12:""css_position"";s:1:""2"";}s:5:""1.144"";a:2:{s:9:""css_group"";s:10:""ipb_styles"";s:12:""css_position"";s:1:""1"";}s:5:""1.145"";a:2:{s:9:""css_group"";s:7:""ipb_ucp"";s:12:""css_position"";s:1:""1"";}}",0,html,,FALSE,TRUE,root,2
